alpha,beta,distance_away,avg_distance
1.5,0.7,1,1.9644
1.5,0.7,2,1.8057
1.5,0.7,3,1.7589
1.5,0.8,1,2.008
1.5,0.8,2,1.8194
1.5,0.8,3,1.7648
1.5,0.9,1,2.0448
1.5,0.9,2,1.8319
1.5,0.9,3,1.7676
1.5,1.0,1,2.08
1.5,1.0,2,1.8389
1.5,1.0,3,1.773
1.6,0.0,1,1.7542
1.6,0.0,2,1.7542
1.6,0.0,3,1.7542
1.6,0.1,1,1.7723
1.6,0.1,2,1.7592
1.6,0.1,3,1.7504
1.6,0.2,1,1.7948
1.6,0.2,2,1.7699
1.6,0.2,3,1.7455
1.6,0.3,1,1.8268
1.6,0.3,2,1.7738
1.6,0.3,3,1.7433
1.6,0.4,1,1.8552
1.6,0.4,2,1.7785
1.6,0.4,3,1.7471
1.6,0.5,1,1.8854
1.6,0.5,2,1.7836
1.6,0.5,3,1.7515
1.6,0.6,1,1.9121
1.6,0.6,2,1.7931
1.6,0.6,3,1.7513
1.6,0.7,1,1.9462
1.6,0.7,2,1.7997
1.6,0.7,3,1.7515
1.6,0.8,1,1.9807
1.6,0.8,2,1.8062
1.6,0.8,3,1.7558
1.6,0.9,1,2.0174
1.6,0.9,2,1.8178
1.6,0.9,3,1.7591
1.6,1.0,1,2.0477
1.6,1.0,2,1.829
1.6,1.0,3,1.7657
1.7,0.0,1,1.7536
1.7,0.0,2,1.7536
1.7,0.0,3,1.7536
1.7,0.1,1,1.772
1.7,0.1,2,1.7601
1.7,0.1,3,1.7496
1.7,0.2,1,1.7934
1.7,0.2,2,1.7687
1.7,0.2,3,1.744
1.7,0.3,1,1.8195
1.7,0.3,2,1.7709
1.7,0.3,3,1.7417
1.7,0.4,1,1.8444
1.7,0.4,2,1.777
1.7,0.4,3,1.7413
1.7,0.5,1,1.8721
1.7,0.5,2,1.7849
1.7,0.5,3,1.7466
1.7,0.6,1,1.9035
1.7,0.6,2,1.7886
1.7,0.6,3,1.7505
1.7,0.7,1,1.9282
1.7,0.7,2,1.7922
1.7,0.7,3,1.7486
1.7,0.8,1,1.9617
1.7,0.8,2,1.8
1.7,0.8,3,1.7495
1.7,0.9,1,1.9921
1.7,0.9,2,1.8081
1.7,0.9,3,1.7544
1.7,1.0,1,2.0253
1.7,1.0,2,1.8161
1.7,1.0,3,1.7565
1.8,0.0,1,1.7534
1.8,0.0,2,1.7534
1.8,0.0,3,1.7534
1.8,0.1,1,1.7739
1.8,0.1,2,1.7603
1.8,0.1,3,1.7512
1.8,0.2,1,1.7904
1.8,0.2,2,1.7638
1.8,0.2,3,1.7458
1.8,0.3,1,1.8175
1.8,0.3,2,1.768
1.8,0.3,3,1.7443
1.8,0.4,1,1.8384
1.8,0.4,2,1.7744
1.8,0.4,3,1.7427
1.8,0.5,1,1.8628
1.8,0.5,2,1.7818
1.8,0.5,3,1.7421
1.8,0.6,1,1.888
1.8,0.6,2,1.7853
1.8,0.6,3,1.7483
1.8,0.7,1,1.9118
1.8,0.7,2,1.7895
1.8,0.7,3,1.7486
1.8,0.8,1,1.9416
1.8,0.8,2,1.7954
1.8,0.8,3,1.7505
1.8,0.9,1,1.9727
1.8,0.9,2,1.8013
1.8,0.9,3,1.7529
1.8,1.0,1,2.0058
1.8,1.0,2,1.8116
1.8,1.0,3,1.7554
1.9,0.0,1,1.7521
1.9,0.0,2,1.7521
1.9,0.0,3,1.7521
1.9,0.1,1,1.7705
1.9,0.1,2,1.7553
1.9,0.1,3,1.7515
1.9,0.2,1,1.7892
1.9,0.2,2,1.7622
1.9,0.2,3,1.747
1.9,0.3,1,1.8099
1.9,0.3,2,1.765
1.9,0.3,3,1.7455
1.9,0.4,1,1.8351
1.9,0.4,2,1.7699
1.9,0.4,3,1.7463
1.9,0.5,1,1.8525
1.9,0.5,2,1.7771
1.9,0.5,3,1.7432
1.9,0.6,1,1.8795
1.9,0.6,2,1.7811
1.9,0.6,3,1.7471
1.9,0.7,1,1.9031
1.9,0.7,2,1.7874
1.9,0.7,3,1.7464
1.9,0.8,1,1.9264
1.9,0.8,2,1.792
1.9,0.8,3,1.7484
1.9,0.9,1,1.9561
1.9,0.9,2,1.801
1.9,0.9,3,1.7505
1.9,1.0,1,1.9847
1.9,1.0,2,1.8074
1.9,1.0,3,1.7542
2.0,0.0,1,1.75
2.0,0.0,2,1.75
2.0,0.0,3,1.75
2.0,0.1,1,1.7683
2.0,0.1,2,1.7541
2.0,0.1,3,1.7507
2.0,0.2,1,1.7888
2.0,0.2,2,1.7604
2.0,0.2,3,1.7455
2.0,0.3,1,1.8088
2.0,0.3,2,1.7634
2.0,0.3,3,1.7445
2.0,0.4,1,1.8255
2.0,0.4,2,1.7671
2.0,0.4,3,1.7457
2.0,0.5,1,1.8516
2.0,0.5,2,1.7711
2.0,0.5,3,1.7448
2.0,0.6,1,1.8681
2.0,0.6,2,1.7797
2.0,0.6,3,1.7446
2.0,0.7,1,1.8922
2.0,0.7,2,1.7837
2.0,0.7,3,1.7456
2.0,0.8,1,1.9127
2.0,0.8,2,1.7886
2.0,0.8,3,1.7464
2.0,0.9,1,1.938
2.0,0.9,2,1.7949
2.0,0.9,3,1.7494
2.0,1.0,1,1.9643
2.0,1.0,2,1.8021
2.0,1.0,3,1.7519
