poster_number,number_recommend,avg_node_distance,avg_node_distance_kw,avg_node_distance_wv,avg_node_distance_cv,avg_node_distance_le,avg_random
2682,8,0.1,2.3,1.3,0.9,0.6,2.7
2682,9,0.1,2.6,1.5,0.8,0.6,2.9
2682,10,0.1,2.5,1.4,1.3,0.6,3.0
6465,1,2.4,2.4,2.6,2.6,2.3,2.8
6465,2,1.8,3.0,2.6,2.3,1.7,2.9
6465,3,2.1,3.0,1.5,2.1,1.7,2.9
6465,4,1.8,3.0,2.1,2.1,1.5,3.0
6465,5,1.8,2.9,2.1,2.3,2.1,3.0
6465,6,1.8,2.9,2.0,2.3,2.4,3.0
6465,7,2.1,2.9,2.0,2.3,2.1,2.9
6465,8,2.1,2.8,2.1,2.4,2.1,3.0
6465,9,2.1,2.7,2.1,2.3,2.1,3.0
6465,10,2.1,2.8,1.8,2.6,2.1,3.0
12145,1,1.6,1.3,2.3,1.9,1.0,3.0
12145,2,0.6,2.4,0.7,0.5,0.7,3.0
12145,3,0.3,2.3,0.5,0.4,0.7,3.0
12145,4,0.2,1.9,0.6,0.4,0.6,3.0
12145,5,0.3,1.6,1.1,0.5,0.7,2.8
12145,6,0.3,1.9,0.6,0.5,0.6,3.0
12145,7,0.2,1.8,0.5,0.8,1.0,2.7
12145,8,0.2,1.6,0.8,0.7,0.5,2.8
12145,9,0.4,1.6,0.6,0.6,0.8,3.0
12145,10,0.4,1.6,0.5,0.7,0.7,2.7
5251,1,1.8,0.8,2.0,1.7,1.6,2.6
5251,2,0.7,0.9,1.6,1.0,1.1,2.6
5251,3,1.5,1.4,1.4,2.0,1.1,2.5
5251,4,1.1,1.4,1.4,1.8,0.9,2.7
5251,5,0.9,1.3,1.5,1.5,0.4,2.7
5251,6,0.6,1.6,1.5,1.4,0.1,2.6
5251,7,0.3,1.2,1.5,1.1,0.4,2.9
5251,8,0.6,2.3,1.5,0.9,0.4,2.8
5251,9,0.6,1.8,1.8,1.0,0.5,2.7
5251,10,0.4,2.0,1.5,1.2,0.7,2.7
11191,1,2.7,1.9,2.7,2.7,2.7,2.6
11191,2,2.0,2.1,3.0,2.3,2.6,2.6
11191,3,1.7,2.3,2.3,2.0,2.3,2.8
11191,4,1.3,2.4,2.4,2.1,0.9,2.6
11191,5,0.7,2.2,1.1,0.9,0.4,2.7
11191,6,0.6,2.6,1.7,1.5,0.4,2.9
11191,7,0.6,1.6,1.9,1.3,0.5,2.6
11191,8,1.0,1.6,1.3,1.3,0.6,3.0
11191,9,0.8,2.1,0.7,1.4,0.6,2.5
11191,10,0.9,2.3,0.6,1.1,0.5,2.8
316,1,1.7,1.5,0.9,1.7,1.7,2.5
316,2,1.4,1.3,1.2,1.5,1.4,2.5
316,3,1.0,1.5,0.8,1.3,1.2,2.8
316,4,0.8,1.5,0.7,1.0,0.9,2.7
316,5,0.9,1.8,0.8,1.1,1.2,2.7
316,6,0.9,1.6,0.9,1.4,1.1,2.5
316,7,0.9,1.8,0.7,1.2,1.1,2.4
316,8,0.6,1.5,0.6,0.9,0.4,2.7
316,9,0.6,1.4,0.8,1.1,0.7,2.6
316,10,0.7,1.8,0.6,1.1,0.6,2.4
9547,1,2.2,2.5,2.2,2.5,2.7,2.7
9547,2,1.5,2.1,1.1,2.2,1.0,2.7
9547,3,1.3,1.5,1.3,1.6,1.2,2.7
9547,4,1.1,1.4,1.4,1.2,1.5,2.0
9547,5,1.0,1.3,1.2,1.7,1.4,2.6
9547,6,0.8,1.3,0.9,1.5,1.1,2.8
9547,7,1.0,1.4,1.3,1.5,1.4,2.8
9547,8,0.8,1.0,1.6,1.5,1.1,2.7
9547,9,0.7,0.9,1.6,1.7,1.1,2.8
9547,10,1.0,1.2,1.6,1.4,1.1,2.9
6413,1,1.8,2.0,1.9,1.8,1.8,3.0
6413,2,2.4,1.4,2.3,1.6,2.4,2.8
6413,3,2.1,1.6,2.3,1.2,1.9,3.0
6413,4,1.8,1.9,2.2,1.3,1.7,2.8
6413,5,2.1,2.5,2.2,1.3,1.8,2.8
6413,6,2.4,2.3,1.4,1.5,2.0,2.8
6413,7,2.1,2.6,2.0,1.2,1.8,2.9
6413,8,1.8,2.6,1.9,1.7,1.5,3.0
6413,9,1.8,2.6,2.2,2.0,1.5,3.0
6413,10,2.1,1.9,1.9,2.0,1.5,2.9
12354,1,2.5,2.5,2.7,2.2,2.6,3.0
12354,2,2.4,2.7,2.3,2.2,2.3,3.0
12354,3,1.7,2.5,1.8,1.7,1.8,2.9
12354,4,1.7,2.4,2.0,1.8,1.5,2.9
12354,5,1.7,2.4,2.0,1.7,1.6,2.8
12354,6,1.8,2.5,2.0,1.8,1.7,2.9
12354,7,1.7,2.9,2.4,1.8,1.9,3.0
12354,8,1.4,2.7,2.1,1.8,1.5,3.0
12354,9,1.5,2.7,1.8,1.8,1.6,2.9
12354,10,1.4,2.7,2.1,1.9,1.8,2.9
11422,1,1.5,1.1,1.1,1.5,1.7,2.5
11422,2,0.3,1.4,0.8,0.8,0.3,2.8
11422,3,0.2,1.1,0.5,0.6,0.3,2.6
11422,4,0.2,1.7,0.5,0.6,0.4,2.8
11422,5,0.2,2.0,0.4,0.7,0.6,2.7
11422,6,0.2,1.8,0.5,0.6,0.5,2.6
11422,7,0.3,1.5,0.4,0.7,0.5,3.0
11422,8,0.2,1.6,0.5,0.7,0.3,2.9
11422,9,0.2,1.5,0.4,0.6,0.3,2.8
11422,10,0.1,1.8,0.5,0.5,0.4,2.6
11854,1,0.8,1.1,1.0,1.6,0.7,2.8
11854,2,0.5,2.6,1.3,1.2,0.6,2.8
11854,3,0.2,2.6,1.7,1.2,0.5,2.5
11854,4,0.2,2.8,1.0,1.5,0.5,2.9
11854,5,0.4,2.7,1.2,1.7,0.4,2.8
11854,6,0.3,2.7,1.2,1.1,0.4,2.9
11854,7,0.2,2.8,1.3,1.3,0.5,2.4
11854,8,0.1,2.8,1.1,1.3,0.5,2.5
11854,9,0.2,2.8,0.8,1.0,0.5,2.6
11854,10,0.3,2.1,0.9,1.3,0.5,2.8
10452,1,2.7,2.4,2.7,2.7,2.7,3.0
