poster_number,avg_node_distance,avg_node_distance_kw,avg_random,number_recommend
10184,2.2,2.9,2.7,3
10184,1.8,2.6,2.7,4
10184,1.4,2.6,2.6,5
13036,2.2,1.3,3.0,1
13036,2.0,1.5,3.0,2
13036,1.0,1.2,2.9,3
13036,0.9,1.5,3.0,4
13036,0.9,2.9,3.0,5
6215,0.8,1.4,2.7,1
6215,0.4,1.4,2.7,2
6215,0.2,1.5,2.7,3
6215,0.3,1.5,2.9,4
6215,0.6,1.4,2.7,5
1793,2.3,2.9,2.5,1
1793,2.4,2.5,3.0,2
1793,2.4,2.7,2.7,3
1793,2.4,2.6,3.0,4
1793,2.1,2.9,2.5,5
14679,0.7,0.8,2.9,1
14679,0.8,0.8,2.6,2
14679,0.5,1.0,2.6,3
14679,0.6,1.0,2.7,4
14679,0.6,1.4,2.8,5
125,1.4,1.9,3.0,1
125,1.8,1.5,2.9,2
125,1.3,1.4,3.0,3
125,0.9,1.4,3.0,4
125,0.8,1.7,3.0,5
1255,2.2,3.0,2.8,1
1255,1.6,1.7,2.3,2
1255,1.4,2.4,2.8,3
1255,1.4,2.5,2.6,4
1255,1.4,2.4,2.6,5
5263,0.7,1.2,2.7,1
5263,0.7,0.8,2.8,2
5263,1.0,0.9,2.8,3
5263,0.7,0.7,2.6,4
5263,0.7,0.8,2.7,5
10824,1.3,1.8,3.0,1
10824,1.6,2.4,2.7,2
10824,1.3,2.4,2.8,3
10824,0.8,2.0,2.9,4
10824,0.7,1.9,2.8,5
5653,0.6,2.7,2.6,1
5653,1.0,2.4,3.0,2
5653,1.0,1.6,2.8,3
5653,1.0,1.5,2.9,4
5653,0.9,2.0,2.9,5
10476,0.9,1.8,2.9,1
10476,0.8,1.7,2.9,2
10476,0.4,1.6,3.0,3
10476,0.4,1.6,2.3,4
10476,0.4,1.2,2.9,5
9400,1.2,2.1,2.5,1
9400,1.0,1.1,2.6,2
9400,1.0,1.2,2.8,3
9400,1.1,1.2,2.9,4
9400,0.9,1.2,3.0,5
731,1.4,1.1,2.7,1
731,1.0,1.8,2.7,2
731,0.7,1.7,2.8,3
731,1.0,1.5,2.3,4
731,1.2,1.7,2.8,5
11295,0.7,1.0,2.5,1
