poster_number,distance,n_components
11165,2.4,50
14567,0.6,50
4084,2.8,50
10803,1.2,50
4842,2.8,50
4547,1.2,50
5525,2.3,50
7220,2.5,50
3887,1.9,50
13472,1.5,50
7023,1.4,50
6120,0.7,50
5786,1.6,50
8030,1.2,50
9253,2.4,50
6833,2.0,50
12149,1.9,50
10493,2.2,50
13594,2.9,50
13252,1.8,50
12234,2.6,50
3197,1.3,50
14579,1.1,50
1306,1.0,50
10828,2.9,50
6828,2.8,50
8917,2.5,50
12796,1.5,50
14592,2.4,50
4255,2.2,50
13482,2.0,50
6261,2.8,50
10304,1.8,50
6296,3.0,50
7190,2.8,50
3435,0.3,50
254,2.6,50
13090,1.7,50
13333,2.1,50
3765,2.5,50
3436,2.4,50
4428,2.7,50
7438,1.6,50
9791,1.3,50
11711,1.2,50
10942,2.1,50
8161,2.7,50
11582,2.0,50
637,2.6,50
2242,1.0,50
14216,1.7,50
9352,1.3,50
2576,2.8,50
14445,2.8,50
7637,1.3,50
3821,2.2,50
11032,1.9,50
8568,2.7,50
1930,1.9,50
6790,1.6,50
4580,2.1,50
7355,2.8,50
11606,1.6,50
1687,2.9,50
578,0.9,50
13912,1.0,50
12917,1.4,50
3685,2.7,50
10690,1.4,50
5770,1.3,50
6340,0.8,50
114,1.3,50
7742,2.5,50
1291,1.8,50
8481,1.2,50
7460,2.7,50
10565,3.0,50
13110,2.5,50
222,1.4,50
10020,1.7,50
4367,1.9,50
5997,1.0,50
6563,2.6,50
8624,2.4,50
6379,2.3,50
4848,2.2,50
6841,2.1,50
6708,2.7,50
974,0.8,50
11726,1.1,50
6328,1.5,50
561,0.9,50
2690,1.7,50
10800,0.4,50
8641,2.1,50
14137,0.4,50
10974,1.5,50
8138,1.7,50
2980,2.6,50
10083,1.8,50
8208,2.4,50
8024,1.5,50
10304,1.8,50
7285,2.7,50
7846,0.9,50
12842,0.1,50
4435,1.0,50
2928,1.1,50
3284,2.6,50
6150,0.6,50
2654,1.7,50
2899,2.3,50
7805,2.5,50
8631,2.0,50
10388,1.9,50
1139,1.7,50
2399,1.4,50
686,2.3,50
3430,1.8,50
3901,2.2,50
3563,1.8,50
249,2.0,50
5603,2.8,50
7560,2.0,50
11568,1.3,50
12087,1.1,50
10373,1.3,50
11360,0.8,50
4945,1.4,50
11778,2.8,50
3963,1.6,50
2149,1.1,50
12517,2.3,50
9832,0.9,50
12706,1.7,50
8783,2.9,50
1515,2.8,50
4713,2.3,50
11736,0.8,50
7024,1.3,50
4890,1.6,50
1478,0.9,50
5394,1.9,50
10897,2.7,50
11236,2.1,50
8851,2.1,50
13671,1.9,50
4199,2.8,50
9598,1.7,50
3853,2.6,50
13217,0.6,50
12464,1.0,50
12059,1.5,50
6525,1.1,50
8486,0.9,50
4054,2.3,50
8666,1.2,50
4657,2.0,50
5446,1.7,50
9042,1.7,50
11827,1.3,50
978,2.4,50
8442,2.3,50
4022,2.8,50
2230,1.4,50
8865,0.6,50
6201,2.0,50
7224,1.8,50
4136,1.8,50
12292,2.7,50
5275,2.6,50
5954,2.4,50
3648,2.6,50
813,2.1,50
12166,2.4,50
3703,2.0,50
3451,2.5,50
5311,1.7,50
6991,1.6,50
14216,1.7,50
13868,2.8,50
1629,1.6,50
9905,1.7,50
740,1.8,50
4808,1.4,50
3041,2.0,50
9569,1.4,50
11105,2.6,50
12406,3.0,50
12332,1.9,50
3682,2.1,50
5908,1.1,50
4542,2.7,50
6494,0.9,50
12067,1.9,50
5988,2.1,50
12392,1.0,50
5480,1.9,50
12752,1.5,50
14477,1.7,50
13006,1.0,50
4801,3.0,50
11845,2.7,50
1080,1.5,50
4024,1.7,50
7305,1.4,50
2499,2.3,50
3588,1.5,50
4121,2.5,50
11233,2.0,50
14296,2.6,50
12753,2.1,50
5101,1.6,50
4757,2.1,50
6370,1.8,50
2391,0.4,50
2029,2.8,50
12980,2.7,50
3839,2.4,50
12233,2.8,50
6615,2.1,50
9595,2.1,50
11314,1.4,50
2069,1.0,50
5992,1.8,50
10788,2.9,50
14307,2.2,50
9786,0.9,50
10933,1.9,50
12921,1.5,50
4778,1.1,50
11960,1.8,50
4064,2.2,50
10321,1.5,50
9372,2.3,50
9418,1.5,50
9350,3.0,50
5920,1.1,50
3189,1.5,50
9081,0.6,50
14124,0.8,50
5287,2.2,50
14400,2.0,50
11397,2.3,50
3621,0.6,50
1568,1.9,50
7105,1.9,50
9128,2.4,50
11805,2.3,50
11979,1.9,50
11147,1.7,50
14186,1.2,50
2958,1.2,50
13012,1.9,50
3530,2.1,50
6981,1.5,50
11187,2.9,50
10601,2.1,50
6939,2.1,50
11217,2.1,50
9927,2.3,50
9073,1.9,50
7432,1.4,50
13274,2.6,50
7005,1.4,50
11892,2.6,50
6058,2.0,50
13293,1.4,50
11760,3.0,50
6740,2.2,50
13529,2.5,50
7717,2.2,50
5273,2.8,50
9562,0.9,50
9615,1.9,50
3316,0.4,50
5426,1.1,50
4150,1.2,50
8992,1.3,50
13485,2.0,50
6845,2.0,50
890,1.1,50
2301,2.2,50
9107,2.2,50
11772,2.7,50
1404,2.0,50
13140,0.8,50
7837,2.8,50
10428,1.4,50
11000,1.2,50
1638,2.7,50
4009,1.6,50
1525,1.2,50
3287,2.2,50
2765,1.8,50
8669,2.2,50
8464,2.1,50
12424,2.3,50
4001,2.0,50
14112,0.6,50
4579,1.8,50
7477,1.8,50
10880,1.1,50
13582,1.5,50
12376,1.0,50
1059,1.0,50
12928,2.8,50
11732,1.1,50
5442,2.7,50
7885,1.4,50
3097,2.1,50
61,1.9,50
2188,2.9,50
9684,1.1,50
3555,0.8,50
6007,1.2,50
13131,2.1,50
3827,2.9,50
6486,2.8,50
6765,1.3,50
10703,1.7,50
12770,2.2,50
10606,3.0,50
10839,1.7,50
1430,2.3,50
11562,1.3,50
1131,1.0,50
