poster_number,human_distance,tfidf_distance,keyword_distance,wordvec_distance,countvec_distance,logentropy_distance
6903,0,0.31357762387217886,0.4980686007387708,0.5095753117450359,22.868032406009785,3.497501416839624
6903,1,0.4101744958339316,0.4850883670463242,0.8017665915485954,29.740088893080614,5.300411137695804
6903,2,0.39082185101104194,0.9054617482335822,0.6661194192495559,19.101555369120366,4.165049156699154
6903,3,0.40146448975091853,0.5598969118464293,0.8861826741883749,35.516344432557084,5.152171510644905
3917,0,0.4051891560113802,0.24786546652993552,0.6184857886629933,22.003083346964313,4.964712067936083
3917,1,0.4428722692869336,0.08177675373644912,0.7442914990639566,25.553847877207712,5.371818323267365
3917,2,0.45464906493777696,0.5052182139525927,0.7019439677472973,24.375618415474282,4.966387667235011
3917,3,0.45815177667095597,0.16429297802864554,0.8066575183169579,30.432016721852374,5.3438518717173285
9551,0,0.38743534530475066,0.6115674709190005,0.5932211793512325,27.711332589601934,4.282017316315608
9551,1,0.4822184778933869,0.5370057688065804,0.7730104536234425,20.562669471361914,5.003207115410508
9551,2,0.5095841323174078,0.4276500162731526,0.7764165045196622,17.76355172194478,4.631476125839248
9551,3,0.47695854935805937,0.9136499009971688,0.7236096779513101,18.601186572084977,4.436054207160184
10469,0,0.39453349041409064,0.6974920575846713,0.6714438023382395,25.32294352073065,4.265504940893034
10469,1,0.30946638113508756,0.42137264814470027,0.4838995720731813,20.206651348779253,2.976516798341739
10469,2,0.4700364354332048,0.49919025667871797,0.6737279771867072,21.514889764044945,4.952470683577117
10469,3,0.38095187098098376,0.5753867718040961,0.8527790613453305,28.491551761879144,5.058127137158843
10051,0,0.3430919663212088,0.33501582782765277,0.5271703942969914,15.190226003761985,3.1834617425292455
10051,1,0.4502967189061816,0.3847543651625538,0.5759850640259507,17.343583236914572,4.16053225915359
10051,2,0.47973471235147097,0.4651750714848654,0.7149524848491157,22.690009227894393,4.1517919238556
10051,3,0.49971276083429517,0.38340445389953437,0.9212884235865532,23.184052411122174,5.267110397975308
5648,0,0.45750411930339163,0.5790948483850683,0.8779974503772074,24.69526886488563,4.861559976000928
5648,1,0.37350870658781454,0.3475455848339518,0.6759898702585305,22.265811780927383,4.214879958255459
5648,2,0.36795767086511366,0.4784461577176537,0.49279864741352086,25.401074390997504,4.477638434515645
5648,3,0.4826033716937455,0.7853580476789301,0.817367302733114,29.125267331553978,5.429769777953859
4238,0,0.417899211206435,0.22418835600318776,0.8553651693905266,18.032789591498087,2.9805062349639515
4238,1,0.3892646363143654,0.27024311815596874,0.6507312261829429,16.689651508634405,3.187873449671162
4238,2,0.3816048028434721,0.2955433403129147,0.8714007155337598,16.537642119462763,2.9140908122565548
4238,3,0.3896948965724784,0.40501047165985693,0.7551245929705426,20.477806558008915,4.01508929718387
1861,0,0.43111696490695117,0.3276640344436495,0.6425159054671054,29.154794939934924,5.045693998564866
1861,1,0.4451314770435822,0.4817245399607118,0.5048890265545848,21.65009440107304,5.137578372728541
1861,2,0.4474775225095275,0.07136173871336156,0.8502645561547659,20.998997045294,4.993245509955713
1861,3,0.4443410503343217,0.7796951342231893,0.5891953293408405,29.994158069251696,5.643150916144015
1765,0,0.3437653369557948,0.31188213860946806,0.49684108180147507,20.291461545959358,3.7159505050162696
1765,1,0.4122305030403059,0.21236311492930007,0.7380046242860542,17.710371274383466,5.020472232981578
1765,2,0.34289246240150834,0.3709941825472907,0.48971960916660906,17.497743565921795,3.298554570570511
1765,3,0.48217611606301386,0.6640651592790962,0.8497835935183374,15.93384662144241,3.9238886624157954
13938,0,0.3382348206263099,0.267383694177578,0.6919782190361352,17.909985430636475,2.833363386541547
13938,1,0.3063256486438368,0.3506558921588568,0.4894316755697854,11.421118557096044,2.6462851529312217
13938,2,0.2856523153276367,0.24585369670714496,0.5622695328324183,11.44571169389751,2.041565652264871
13938,3,0.4183198681699767,0.3776928116157719,1.0080899236977097,34.806983771463976,3.6889471283304758
12015,0,0.3433036715202048,0.11723133411463678,0.44821091529058865,15.610953284303335,3.9098289604205685
12015,1,0.5258200848798709,0.42247600922162576,0.8831785506820002,18.670394016159882,5.158953025023977
12015,2,0.4970993017355988,0.2223766366230219,0.9350242783539718,18.890560374838135,5.269654558100956
12015,3,0.4560842384164762,0.21563735487924582,0.7594149896699094,25.34912601562961,6.010950092715974
1795,0,0.3070936063919515,0.19827243287186885,0.42185405219655836,11.67790109941423,2.2469228851281526
1795,1,0.3895357206805604,0.30261043164453666,0.5865343113036291,22.87176590381779,4.116425954948257
1795,2,0.5040745427237582,0.23339393018261162,0.5718076595718395,11.313615137927991,3.604326775433523
1795,3,0.43887094370601915,0.5687899222209846,0.8760061526729351,24.855660174317926,4.088029052918906
7191,0,0.3701273551789887,0.10237186909379735,0.8027865860241696,30.675312824769787,3.6672127991716645
7191,1,0.439021917756455,0.05068133502091976,0.7922232987335622,28.838643497549135,4.620067451383262
7191,2,0.4279797581975233,0.3578549359504277,0.783431132851103,29.485026620975844,4.016736445432153
7191,3,0.39070109241303097,0.6046747461236808,0.8198991220908376,25.978651353812914,3.604985703209669
2559,0,0.3436006358368117,0.37521155940694567,0.4607485187625197,23.860633666916108,3.1444286803446526
2559,1,0.3934673256454959,0.44740067105540193,0.7340032597033643,27.14779168761821,4.60927463349483
2559,2,0.4197386294083654,0.6896983487107171,0.7232658953288044,24.349853853498615,4.890122320927977
2559,3,0.32956999576285045,0.694306373717112,0.4150674933074376,19.663833548623966,3.3598343086716924
12376,0,0.32041496976260125,0.5574867208432234,0.47369714432083315,18.901752157438253,3.806041412837859
12376,1,0.38057307149789393,0.4605277987673107,0.4893632951486022,13.417259883722137,3.55458831517075
12376,2,0.39000803108474175,0.5410859082961104,0.5938390709152611,17.41430069009081,4.71923478257816
12376,3,0.36349240698218543,0.39331125175436205,0.46319426468402225,16.903736562414903,3.696776084434487
6821,0,0.25528084037824944,0.6075005663743591,0.4760727197584453,13.294241868803198,1.4942500293711487
6821,1,0.0,0.0,0.0,0.0,0.0
6821,2,0.32628185336932747,0.18773686192426303,0.5550318493289761,13.96625542151201,2.07149281922394
6821,3,0.40931461294999755,0.5647515840638716,0.9187955284364617,25.060023237783632,4.591661381920155
11237,0,0.2897775261579972,0.3628390572597224,0.48916790112278224,17.176577147264638,2.917476610834508
11237,1,0.3398830025306793,0.3039867518378682,0.47789099181004613,19.536874200998653,3.15761252932642
